Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"4501 N CHARLES ST BLDG A BALTIMORE MD 21210"
"Account Number",6959340000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732081-1,2024-01-01,22:45,36.59,kWh
"Electric Usage",G159732081-1,2024-01-01,23:00,35.96,kWh
"Electric Usage",G159732081-1,2024-01-01,23:15,36.35,kWh
"Electric Usage",G159732081-1,2024-01-01,23:30,35.89,kWh
"Electric Usage",G159732081-1,2024-01-01,23:45,35.82,kWh
"Electric Usage",G159732081-1,2024-01-02,00:00,36.45,kWh
"Electric Usage",G159732081-1,2024-01-02,00:15,36.15,kWh
"Electric Usage",G159732081-1,2024-01-02,00:30,37.04,kWh
"Electric Usage",G159732081-1,2024-01-02,00:45,35.86,kWh
"Electric Usage",G159732081-1,2024-01-02,01:00,36.88,kWh
"Electric Usage",G159732081-1,2024-01-02,01:15,37.08,kWh
"Electric Usage",G159732081-1,2024-01-02,01:30,36.23,kWh
"Electric Usage",G159732081-1,2024-01-02,01:45,35.8,kWh
"Electric Usage",G159732081-1,2024-01-02,02:00,35.6,kWh
"Electric Usage",G159732081-1,2024-01-02,02:15,37.08,kWh
"Electric Usage",G159732081-1,2024-01-02,02:30,35.2,kWh
"Electric Usage",G159732081-1,2024-01-02,02:45,36.51,kWh
"Electric Usage",G159732081-1,2024-01-02,03:00,36.17,kWh
"Electric Usage",G159732081-1,2024-01-02,03:15,36.53,kWh
"Electric Usage",G159732081-1,2024-01-02,03:30,36.82,kWh
"Electric Usage",G159732081-1,2024-01-02,03:45,36.1,kWh
"Electric Usage",G159732081-1,2024-01-02,04:00,36.73,kWh
"Electric Usage",G159732081-1,2024-01-02,04:15,36.07,kWh
"Electric Usage",G159732081-1,2024-01-02,04:30,37,kWh
"Electric Usage",G159732081-1,2024-01-02,04:45,36.61,kWh
"Electric Usage",G159732081-1,2024-01-02,05:00,37.41,kWh
"Electric Usage",G159732081-1,2024-01-02,05:15,36.61,kWh
"Electric Usage",G159732081-1,2024-01-02,05:30,36.18,kWh
"Electric Usage",G159732081-1,2024-01-02,05:45,37.05,kWh
"Electric Usage",G159732081-1,2024-01-02,06:00,36.05,kWh
"Electric Usage",G159732081-1,2024-01-02,06:15,37.44,kWh
"Electric Usage",G159732081-1,2024-01-02,06:30,36.98,kWh
"Electric Usage",G159732081-1,2024-01-02,06:45,36.29,kWh
"Electric Usage",G159732081-1,2024-01-02,07:00,38.07,kWh
"Electric Usage",G159732081-1,2024-01-02,07:15,37.13,kWh
"Electric Usage",G159732081-1,2024-01-02,07:30,38.42,kWh
"Electric Usage",G159732081-1,2024-01-02,07:45,37.11,kWh
"Electric Usage",G159732081-1,2024-01-02,08:00,37.9,kWh
"Electric Usage",G159732081-1,2024-01-02,08:15,37.41,kWh
"Electric Usage",G159732081-1,2024-01-02,08:30,38.98,kWh
"Electric Usage",G159732081-1,2024-01-02,08:45,36.45,kWh
"Electric Usage",G159732081-1,2024-01-02,09:00,36.57,kWh
"Electric Usage",G159732081-1,2024-01-02,09:15,38.31,kWh
"Electric Usage",G159732081-1,2024-01-02,09:30,37.92,kWh
"Electric Usage",G159732081-1,2024-01-02,09:45,37.45,kWh
"Electric Usage",G159732081-1,2024-01-02,10:00,36.68,kWh
"Electric Usage",G159732081-1,2024-01-02,10:15,37.99,kWh
"Electric Usage",G159732081-1,2024-01-02,10:30,37.41,kWh
"Electric Usage",G159732081-1,2024-01-02,10:45,37.48,kWh
"Electric Usage",G159732081-1,2024-01-02,11:00,35.45,kWh
"Electric Usage",G159732081-1,2024-01-02,11:15,37.85,kWh
"Electric Usage",G159732081-1,2024-01-02,11:30,37.24,kWh
"Electric Usage",G159732081-1,2024-01-02,11:45,36.51,kWh
"Electric Usage",G159732081-1,2024-01-02,12:00,36.22,kWh
"Electric Usage",G159732081-1,2024-01-02,12:15,37.72,kWh
"Electric Usage",G159732081-1,2024-01-02,12:30,35.65,kWh
"Electric Usage",G159732081-1,2024-01-02,12:45,36.85,kWh
"Electric Usage",G159732081-1,2024-01-02,13:00,37.08,kWh
"Electric Usage",G159732081-1,2024-01-02,13:15,36.15,kWh
"Electric Usage",G159732081-1,2024-01-02,13:30,37.11,kWh
